구분,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년,2022년,2023년,2024년
보증신청건수,2894,1574,21199,38697,76102,118963,128385,162273,154587,218100,210968
보증발급금액(억원),3252,1749,29738,58147,115053,168291,194463,256755,246673,329386,329397
