sigungu_full,victim_house_cnt,year,period_note,sido_short,sigungu
인천시 동구,1,2023,2023년(23.7.~),인천시,동구
인천시 미추홀구,68,2023,2023년(23.7.~),인천시,미추홀구
인천시 부평구,13,2023,2023년(23.7.~),인천시,부평구
인천시 서구,12,2023,2023년(23.7.~),인천시,서구
인천시 연수구,3,2023,2023년(23.7.~),인천시,연수구
전남 광양시,5,2023,2023년(23.7.~),전남,광양시
전남 나주시,11,2023,2023년(23.7.~),전남,나주시
전남 순천시,2,2023,2023년(23.7.~),전남,순천시
전북 남원시,2,2023,2023년(23.7.~),전북,남원시
제주시,2,2023,2023년(23.7.~),제주시,
창원시 성산구,2,2023,2023년(23.7.~),창원시,성산구
천안시 동남구,2,2023,2023년(23.7.~),천안시,동남구
청주시 청원구,1,2023,2023년(23.7.~),청주시,청원구
청주시 흥덕구,1,2023,2023년(23.7.~),청주시,흥덕구
충남 서산시,1,2023,2023년(23.7.~),충남,서산시
충북 보은군,1,2023,2023년(23.7.~),충북,보은군
충북 음성군,1,2023,2023년(23.7.~),충북,음성군
화성시 동탄구,17,2023,2023년(23.7.~),화성시,동탄구
화성시 만세구,4,2023,2023년(23.7.~),화성시,만세구
강원 가평군,1,2024,2024년,강원,가평군
강원 강릉시,4,2024,2024년,강원,강릉시
강원 속초시,1,2024,2024년,강원,속초시
강원 원주시,2,2024,2024년,강원,원주시
강원 철원군,1,2024,2024년,강원,철원군
강원 홍천군,1,2024,2024년,강원,홍천군
경기 광명시,2,2024,2024년,경기,광명시
경기 광주시,12,2024,2024년,경기,광주시
경기 구리시,12,2024,2024년,경기,구리시
경기 군포시,21,2024,2024년,경기,군포시
경기 김포시,13,2024,2024년,경기,김포시
경기 남양주시,9,2024,2024년,경기,남양주시
경기 시흥시,8,2024,2024년,경기,시흥시
경기 안성시,4,2024,2024년,경기,안성시
경기 양주시,4,2024,2024년,경기,양주시
경기 양평군,6,2024,2024년,경기,양평군
경기 오산시,10,2024,2024년,경기,오산시
경기 의왕시,3,2024,2024년,경기,의왕시
경기 의정부시,14,2024,2024년,경기,의정부시
경기 이천시,10,2024,2024년,경기,이천시
경기 파주시,13,2024,2024년,경기,파주시
경기 평택시,9,2024,2024년,경기,평택시
경기 하남시,36,2024,2024년,경기,하남시
경남 거제시,2,2024,2024년,경남,거제시
경남 김해시,4,2024,2024년,경남,김해시
경남 양산시,3,2024,2024년,경남,양산시
경남 진주시,5,2024,2024년,경남,진주시
경북 경산시,3,2024,2024년,경북,경산시
경북 경주시,1,2024,2024년,경북,경주시
경북 구미시,5,2024,2024년,경북,구미시
경북 김천시,4,2024,2024년,경북,김천시
경북 칠곡군,1,2024,2024년,경북,칠곡군
고양시 덕양구,9,2024,2024년,고양시,덕양구
고양시 일산동구,8,2024,2024년,고양시,일산동구
고양시 일산서구,2,2024,2024년,고양시,일산서구
광주시 광산구,26,2024,2024년,광주시,광산구
광주시 남구,3,2024,2024년,광주시,남구
광주시 동구,4,2024,2024년,광주시,동구
광주시 북구,15,2024,2024년,광주시,북구
광주시 서구,9,2024,2024년,광주시,서구
대구시 남구,1,2024,2024년,대구시,남구
대구시 달서구,10,2024,2024년,대구시,달서구
